,date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
828,2022.4.18,인스톨,페이스북,fb_app_install_catalog_aos_2201,767291,75678,649,1182,24,31970,"(455.0, 910.0]"
829,2022.4.18,인스톨,페이스북,fb_app_install_catalog_ios_2201,1060666,244217,900,1179,14,75762,"(455.0, 910.0]"
841,2022.4.19,인스톨,페이스북,fb_app_install_catalog_aos_2201,779973,71871,541,1442,18,43332,"(455.0, 910.0]"
842,2022.4.19,인스톨,페이스북,fb_app_install_catalog_ios_2201,1189859,249032,743,1601,12,99155,"(455.0, 910.0]"
853,2022.4.20,인스톨,페이스북,fb_app_install_catalog_aos_2201,792454,68072,713,1111,30,26415,"(455.0, 910.0]"
854,2022.4.20,인스톨,페이스북,fb_app_install_catalog_ios_2201,1189471,246384,728,1634,14,84962,"(455.0, 910.0]"
866,2022.4.21,인스톨,페이스북,fb_app_install_catalog_aos_2201,784311,70103,691,1135,20,39216,"(455.0, 910.0]"
867,2022.4.21,인스톨,페이스북,fb_app_install_catalog_ios_2201,1152042,241875,855,1347,6,192007,"(455.0, 910.0]"
879,2022.4.22,인스톨,페이스북,fb_app_install_catalog_aos_2201,767822,64336,612,1255,17,45166,"(455.0, 910.0]"
880,2022.4.22,인스톨,페이스북,fb_app_install_catalog_ios_2201,1123675,192086,752,1494,15,74912,"(455.0, 910.0]"
892,2022.4.23,인스톨,페이스북,fb_app_install_catalog_aos_2201,807521,68188,639,1264,25,32301,"(455.0, 910.0]"
893,2022.4.23,인스톨,페이스북,fb_app_install_catalog_ios_2201,1212438,197833,685,1770,12,101036,"(455.0, 910.0]"
905,2022.4.24,인스톨,페이스북,fb_app_install_catalog_aos_2201,907759,77462,860,1056,18,50431,"(455.0, 910.0]"
906,2022.4.24,인스톨,페이스북,fb_app_install_catalog_ios_2201,1358565,225115,799,1700,21,64694,"(455.0, 910.0]"
917,2022.4.25,인스톨,페이스북,fb_app_install_catalog_aos_2201,785689,65875,635,1237,35,22448,"(455.0, 910.0]"
918,2022.4.25,인스톨,페이스북,fb_app_install_catalog_ios_2201,1166922,190068,918,1271,4,291730,"(910.0, 1365.0]"
930,2022.4.26,인스톨,페이스북,fb_app_install_catalog_aos_2201,736511,64593,594,1240,17,43324,"(455.0, 910.0]"
